date,supplier,hotel,product,qty,oldSupplyPrice,newSupplyPrice,diff,tutedPrice,priceListDate,marginRate
2026-04-24,KUMLUCA HAL,AMBASSADOR,DOMATES,170,84.6,82.8,-1.8,460,2026-04-24,0.18
2026-04-24,KUMLUCA HAL,AMBASSADOR,BİBER DOLMA,28,45,81,36,450,2026-04-24,0.18
2026-04-24,KUMLUCA HAL,AMBASSADOR,BİBER ÇARLİSTON,20,27.9,57.6,29.7,320,2026-04-24,0.18
2026-04-24,KUMLUCA HAL,AMBASSADOR,PATLICAN,33,20.7,19.8,-0.9,110,2026-04-24,0.18
2026-04-24,KUMLUCA HAL,AMBASSADOR,SALATALIK SİLOR PAKET,35,34.2,25.2,-9,140,2026-04-24,0.18
2026-04-24,KUMLUCA HAL,AMBASSADOR,KABAK SAKIZ,41,23.4,19.8,-3.6,110,2026-04-24,0.18
2026-04-24,KUMLUCA HAL,GRAND MİRAMOR,PORTAKAL SIKMALIK,90,20.52,18,-2.52,100,2026-04-24,0.18
2026-04-24,KUMLUCA HAL,GRAND MİRAMOR,BİBER SİVRİ,12,31.5,57.6,26.1,320,2026-04-24,0.18
2026-04-24,KUMLUCA HAL,GRAND MİRAMOR,DOMATES,236,84.6,82.8,-1.8,460,2026-04-24,0.18
2026-04-24,KUMLUCA HAL,GRAND MİRAMOR,BİBER DOLMA,24,45,81,36,450,2026-04-24,0.18
2026-04-24,KUMLUCA HAL,GRAND MİRAMOR,BİBER ÇARLİSTON,21,27.9,57.6,29.7,320,2026-04-24,0.18
2026-04-24,KUMLUCA HAL,GRAND MİRAMOR,SALATALIK SİLOR PAKET,60,34.2,25.2,-9,140,2026-04-24,0.18
2026-04-24,KUMLUCA HAL,GRAND MİRAMOR,KABAK SAKIZ,96,23.4,19.8,-3.6,110,2026-04-24,0.18
2026-04-28,ANTALYA HAL,CASAFORA,BİBER KAPYA,20,162.8,165,2.2,750,2026-04-28,0.22
2026-04-28,ANTALYA HAL,CASAFORA,DOMATES,132,99,101.2,2.2,460,2026-04-28,0.22
2026-04-28,ANTALYA HAL,CASAFORA,BİBER DOLMA,43,55,61.6,6.6,280,2026-04-28,0.22
2026-04-28,ANTALYA HAL,SEAPHORİA,BİBER ÇARLİSTON,15,52.8,55,2.2,250,2026-04-28,0.22
2026-04-28,ANTALYA HAL,SEAPHORİA,BİBER KAPYA,10,162.8,165,2.2,750,2026-04-28,0.22
2026-04-28,ANTALYA HAL,SEAPHORİA,DOMATES,116,99,101.2,2.2,460,2026-04-28,0.22
2026-04-28,ANTALYA HAL,SEAPHORİA,BİBER DOLMA,13,55,61.6,6.6,280,2026-04-28,0.22
2026-04-28,ANTALYA HAL,SEAPHORİA,PATATES TAZE,30,0,19.8,19.8,90,2026-04-28,0.22
2026-04-29,KUMLUCA HAL,GRAND MİRAMOR,DOMATES,305,75.6,81,5.4,450,2026-04-29,0.18
2026-04-29,KUMLUCA HAL,GRAND MİRAMOR,SALATALIK SİLOR PAKET,152,30.6,32.4,1.8,180,2026-04-29,0.18
2026-04-29,KUMLUCA HAL,GRAND MİRAMOR,BİBER ÇARLİSTON,131,23.4,43.2,19.8,240,2026-04-29,0.18
2026-04-29,KUMLUCA HAL,AMBASSADOR,KABAK SAKIZ,73,19.8,21.6,1.8,120,2026-04-29,0.18
2026-04-29,KUMLUCA HAL,AMBASSADOR,DOMATES,183,75.6,81,5.4,450,2026-04-29,0.18
2026-04-29,KUMLUCA HAL,AMBASSADOR,SALATALIK SİLOR PAKET,85,30.6,32.4,1.8,180,2026-04-29,0.18
2026-04-29,KUMLUCA HAL,AMBASSADOR,BİBER ÇARLİSTON,106,23.4,43.2,19.8,240,2026-04-29,0.18
2026-04-29,KUMLUCA HAL,AMBASSADOR,PATLICAN,145,26.1,19.8,-6.3,110,2026-04-29,0.18
2026-05-05,ANTALYA HAL,SEAPHORİA,LAHANA,21,26.4,14.3,-12.1,65,2026-05-05,0.22
2026-05-18,MSD07 TAR ÜR,CASAFORA,LAHANA,50,26.4,79.2,52.8,360,2026-05-18,0.22
2026-05-18,MSD07 TAR ÜR,SEAPHORİA,LAHANA,40,26.4,79.2,52.8,360,2026-05-18,0.22
2026-05-23,KUMLUCA HAL,GRAND MİRAMOR,DOMATES,236,0,43.2,43.2,240,2026-05-23,0.18
2026-05-23,KUMLUCA HAL,GRAND MİRAMOR,DOMATES PEMBE,279,0,45.9,45.9,255,2026-05-23,0.18
2026-05-23,KUMLUCA HAL,GRAND MİRAMOR,DOMATES CHERRY,185,0,99,99,550,2026-05-23,0.18
